S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
143,2018-2019,Tamil Nadu,075850253,F.R.C. MISSION TRUST,NO.3/183 THANEERPANDAL THADAGAMCOIMBATORE641108,0.00
144,2018-2019,Tamil Nadu,075850289,Faith Foundation Mission Trust,Door No.3/325-B Sirumugai Road Arivozhi Nagar JadayampalyamMettupalayam641302,0.00
145,2018-2019,Tamil Nadu,075840097,FAITH IN ACTION CHURCH OF GOD,KODAYALIVILAI  CHOOZHAL FATHIMA NAGAR PO VILAVANCODE TALUKKANYAKUMARI629160,0.00
146,2018-2019,Tamil Nadu,075850012,Families For Children,107 Vellore Road PodanurCoimbatore-,7858469.00
147,2018-2019,Tamil Nadu,075900295,Farms India,Avvai Nagar Chennai.-600094,0.00
148,2018-2019,Tamil Nadu,075890250,Fishermen Welfare Social Service,KurumpanaiKanyakumari629251,0.00
149,2018-2019,Tamil Nadu,075900582,Forum For Womens Right and Development - FORWORD,117 Suddananda Bharathi StreetEast Tambaram600059,618000.00
150,2018-2019,Tamil Nadu,075900369,Foundation Of Occupational Development,C Block  I Floor Bharathiar Comple VadapalaniChennai-600026,0.00
151,2018-2019,Tamil Nadu,075970114,Fr. Nathaniels Charitable Trust,Esther Villa St. Thomas Church RoadOotacamund643001,3886566.00
152,2018-2019,Tamil Nadu,075960089,Gandhian Welfare And Development Society,Main Roadkaruppur Konerirajapuram Pothiruvaiyaru T.kThanjavur. Tamil Nadu-613101,0.00
153,2018-2019,Tamil Nadu,075940332,Geaneral Movement For Rural Edu And Envi,99 Indira Nagar Colony ErasakkanayakkanurTheni-,548487.00
154,2018-2019,Tamil Nadu,076040375,GENESIS EDUCATIONAL AND CHARITABLE TRUST,3F NuTech Gopal Villa 3 Padmanaban StreetKodambakkamChennai600024,0.00
155,2018-2019,Tamil Nadu,075840117,GILGAL MISSION INDIA,GILGAL BHAVANKIRATHOOR POST  KOLLAMCODE VIA629181,2504224.00
